# DP, Depth distribution
# DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	1	0	0.000000	207571	1.627917
DP	0	2	0	0.000000	161860	1.269420
DP	0	3	0	0.000000	159182	1.248417
DP	0	4	0	0.000000	158225	1.240911
DP	0	5	0	0.000000	161299	1.265020
DP	0	6	0	0.000000	162237	1.272376
DP	0	7	0	0.000000	163540	1.282595
DP	0	8	0	0.000000	162343	1.273208
DP	0	9	0	0.000000	156871	1.230292
DP	0	10	0	0.000000	154601	1.212489
DP	0	11	0	0.000000	151211	1.185903
DP	0	12	0	0.000000	149683	1.173919
DP	0	13	0	0.000000	147582	1.157441
DP	0	14	0	0.000000	146341	1.147709
DP	0	15	0	0.000000	145334	1.139811
DP	0	16	0	0.000000	144438	1.132784
DP	0	17	0	0.000000	143497	1.125404
DP	0	18	0	0.000000	142628	1.118589
DP	0	19	0	0.000000	141441	1.109279
DP	0	20	0	0.000000	140501	1.101907
DP	0	21	0	0.000000	138833	1.088826
DP	0	22	0	0.000000	138020	1.082450
DP	0	23	0	0.000000	135832	1.065290
DP	0	24	0	0.000000	135221	1.060498
DP	0	25	0	0.000000	134108	1.051769
DP	0	26	0	0.000000	134095	1.051667
DP	0	27	0	0.000000	131819	1.033817
DP	0	28	0	0.000000	131716	1.033009
DP	0	29	0	0.000000	130556	1.023912
DP	0	30	0	0.000000	129447	1.015214
DP	0	31	0	0.000000	127945	1.003434
DP	0	32	0	0.000000	127394	0.999113
DP	0	33	0	0.000000	127284	0.998250
DP	0	34	0	0.000000	126445	0.991670
DP	0	35	0	0.000000	125805	0.986651
DP	0	36	0	0.000000	125390	0.983396
DP	0	37	0	0.000000	124607	0.977255
DP	0	38	0	0.000000	124163	0.973773
DP	0	39	0	0.000000	124731	0.978228
DP	0	40	0	0.000000	123453	0.968205
DP	0	41	0	0.000000	122562	0.961217
DP	0	42	0	0.000000	122643	0.961852
DP	0	43	0	0.000000	123892	0.971648
DP	0	44	0	0.000000	122538	0.961029
DP	0	45	0	0.000000	122306	0.959209
DP	0	46	0	0.000000	122212	0.958472
DP	0	47	0	0.000000	122899	0.963860
DP	0	48	0	0.000000	122495	0.960692
DP	0	49	0	0.000000	122052	0.957217
DP	0	50	0	0.000000	123043	0.964989
DP	0	51	0	0.000000	123036	0.964935
DP	0	52	0	0.000000	122727	0.962511
DP	0	53	0	0.000000	122799	0.963076
DP	0	54	0	0.000000	122258	0.958833
DP	0	55	0	0.000000	122535	0.961005
DP	0	56	0	0.000000	122875	0.963672
DP	0	57	0	0.000000	123604	0.969389
DP	0	58	0	0.000000	122997	0.964629
DP	0	59	0	0.000000	124368	0.975381
DP	0	60	0	0.000000	124392	0.975569
DP	0	61	0	0.000000	125112	0.981216
DP	0	62	0	0.000000	124791	0.978698
DP	0	63	0	0.000000	126094	0.988917
DP	0	64	0	0.000000	126642	0.993215
DP	0	65	0	0.000000	126474	0.991898
DP	0	66	0	0.000000	127782	1.002156
DP	0	67	0	0.000000	128972	1.011489
DP	0	68	0	0.000000	129329	1.014289
DP	0	69	0	0.000000	129774	1.017779
DP	0	70	0	0.000000	131032	1.027645
DP	0	71	0	0.000000	131445	1.030884
DP	0	72	0	0.000000	132859	1.041973
DP	0	73	0	0.000000	131490	1.031237
DP	0	74	0	0.000000	132092	1.035958
DP	0	75	0	0.000000	131151	1.028578
DP	0	76	0	0.000000	131269	1.029503
DP	0	77	0	0.000000	130027	1.019763
DP	0	78	0	0.000000	127825	1.002493
DP	0	79	0	0.000000	126758	0.994125
DP	0	80	0	0.000000	125367	0.983216
DP	0	81	0	0.000000	122544	0.961076
DP	0	82	0	0.000000	119887	0.940238
DP	0	83	0	0.000000	117208	0.919227
DP	0	84	0	0.000000	112767	0.884398
DP	0	85	0	0.000000	109454	0.858415
DP	0	86	0	0.000000	105076	0.824080
DP	0	87	0	0.000000	100846	0.790905
DP	0	88	0	0.000000	96713	0.758491
DP	0	89	0	0.000000	91938	0.721042
DP	0	90	0	0.000000	87538	0.686534
