# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	3	232584	131142	101442	27785
QUAL	0	4	92765	54546	38219	16739
QUAL	0	5	108662	59839	48823	17941
QUAL	0	6	64034	38224	25810	10055
QUAL	0	7	90230	50113	40117	12081
QUAL	0	8	50349	29752	20597	7511
QUAL	0	9	66055	39865	26190	10434
QUAL	0	10	84196	47607	36589	7571
QUAL	0	11	54415	33031	21384	7030
QUAL	0	12	130215	77202	53013	14624
QUAL	0	13	57591	34306	23285	5547
QUAL	0	14	49020	30320	18700	5049
QUAL	0	15	81127	49937	31190	7193
QUAL	0	16	72865	44098	28767	6039
QUAL	0	17	58523	36679	21844	5279
QUAL	0	18	78265	49243	29022	6811
QUAL	0	19	79932	49230	30702	6576
QUAL	0	20	62451	39047	23404	5469
QUAL	0	21	79996	50475	29521	7159
QUAL	0	22	76053	47464	28589	6444
QUAL	0	23	66857	42242	24615	6313
QUAL	0	24	72984	46479	26505	6856
QUAL	0	25	85517	53054	32463	7204
QUAL	0	26	55600	35363	20237	5752
QUAL	0	27	59018	37550	21468	5944
QUAL	0	28	60850	38357	22493	6471
QUAL	0	29	49872	31697	18175	5278
QUAL	0	30	49317	31414	17903	5234
QUAL	0	31	57030	35952	21078	6051
QUAL	0	32	48427	30855	17572	4766
QUAL	0	33	53453	33693	19760	5272
QUAL	0	34	41795	26658	15137	4314
QUAL	0	35	52940	33784	19156	5209
QUAL	0	36	50940	32384	18556	4646
QUAL	0	37	53847	34024	19823	4475
QUAL	0	38	50772	32600	18172	4442
QUAL	0	39	51876	33399	18477	4502
QUAL	0	40	58356	37367	20989	4355
QUAL	0	41	60442	38851	21591	5216
QUAL	0	42	56767	36279	20488	4211
QUAL	0	43	59967	38554	21413	4499
QUAL	0	44	55361	35444	19917	4029
QUAL	0	45	51832	33140	18692	3374
QUAL	0	46	58258	37638	20620	4263
QUAL	0	47	61459	39621	21838	4185
QUAL	0	48	53110	34222	18888	3513
QUAL	0	49	66011	42198	23813	5828
QUAL	0	50	26945	17211	9734	1872
QUAL	0	51	46323	30105	16218	3125
QUAL	0	52	47089	30419	16670	3374
QUAL	0	53	57440	37154	20286	4202
QUAL	0	54	49656	32152	17504	3688
QUAL	0	55	47173	30638	16535	3421
QUAL	0	56	53012	34651	18361	3934
QUAL	0	57	43293	28110	15183	3126
QUAL	0	58	43537	28319	15218	2977
QUAL	0	59	49371	31844	17527	3657
QUAL	0	60	48420	31304	17116	3377
QUAL	0	61	47620	30827	16793	3355
QUAL	0	62	45963	29678	16285	3407
QUAL	0	63	43852	28478	15374	3251
